"depart","vars","n","mean_delay","sd_delay","median_delay","trimmed_mean_delay","mad_delay","min_delay","max_delay","range_delay","skew_delay","kurtosis_delay","se_delay","origin_icao","variable","rate","punc"
"SBMD",2,1503,28.9088489687292,76.5963467868042,0,12.8852867830424,0,0,1005,1005,7.05680166551895,71.4971361585233,1.97573442236235,"SBMD","departure_delay",28.9088489687292,0.703260146373919
"SBME",2,8159,6.36781468317196,24.8128399670251,0,0.332516465002297,0,0,559,559,6.69088101961904,68.7318078736966,0.274699587939835,"SBME","departure_delay",6.36781468317196,0.901090819953426
"SBMG",5,40691,7.56063994495097,27.3674185655435,0,1.11814579301447,0,0,801,801,7.40799156625079,91.2305292441959,0.135670258656301,"SBMG","departure_delay",7.56063994495097,0.873583839178197
"SBMK",4,19079,7.5143351328686,25.8098941450047,0,1.09695381591877,0,0,516,516,6.13137632869946,56.3650255449049,0.186856590146047,"SBMK","departure_delay",7.5143351328686,0.870276219927669
"SBML",2,1686,8.19217081850534,25.5502964340211,0,1.89407407407407,0,0,375,375,5.9342030658024,53.0182128857411,0.62225322771263,"SBML","departure_delay",8.19217081850534,0.847568208778173
"SBMO",9,135964,6.45772410343915,25.3097951961208,0,0.95151325708822,0,0,1247,1247,11.6007673622696,278.038481334334,0.0686399035342737,"SBMO","departure_delay",6.45772410343915,0.882454179047395
"SBMQ",7,54393,10.8046807493611,56.0061634034389,0,2.05480868665977,0,0,1440,1440,18.4424044113145,437.286630125201,0.240139895247883,"SBMQ","departure_delay",10.8046807493611,0.841100876951078
"SBMS",3,1430,6.28391608391608,23.9436697532474,0,0.65034965034965,0,0,377,377,6.67408860838018,62.5627388299764,0.633173448796254,"SBMS","departure_delay",6.28391608391608,0.904195804195804
"SBNF",5,80493,6.86275825227038,22.7032469261792,0,1.53920335429769,0,0,1156,1156,7.81345038039954,141.288260230571,0.0800219104727186,"SBNF","departure_delay",6.86275825227038,0.865354751344837
"SBNM",2,1306,14.9448698315467,39.0520041393659,0,6.2925430210325,0,0,542,542,6.16820375733439,54.822403791282,1.08061685750625,"SBNM","departure_delay",14.9448698315467,0.742725880551302
"SBNT",7,99203,8.38015987419735,26.8834488952999,0,1.80797096883938,0,0,921,921,7.35944815775617,116.198561027874,0.0853537449761888,"SBNT","departure_delay",8.38015987419735,0.844772839531063
"SBPA",10,526794,8.79733064537561,31.4700687473158,0,2.15223189286155,0,0,1440,1440,12.7470826908206,332.006360542259,0.04335880275272,"SBPA","departure_delay",8.79733064537561,0.843709305724818
"SBPB",2,1421,8.45320197044335,31.9244281267345,0,1.42568161829376,0,0,493,493,7.52566829021902,74.6568010811008,0.846888211014708,"SBPB","departure_delay",8.45320197044335,0.87192118226601
"SBPF",3,7313,9.69178175851224,37.4100512697733,0,1.97778157579901,0,0,632,632,8.89560990115519,104.762378532557,0.437462183868108,"SBPF","departure_delay",9.69178175851224,0.850266648434295
"SBPJ",7,36371,5.76679222457452,23.2027891312927,0,0.664879540846135,0,0,689,689,9.44832939386642,146.665696267821,0.121664134845538,"SBPJ","departure_delay",5.76679222457452,0.896071045613263
"SBPK",3,7454,8.38999195063053,27.7221200308411,0,1.62776659959759,0,0,709,709,6.91979980061248,87.5005564848732,0.321093671005855,"SBPK","departure_delay",8.38999195063053,0.8623557821304
"SBPL",5,29176,6.94313819577735,44.4221783412084,0,0.68130408705338,0,0,1440,1440,23.9865994621267,723.542597298325,0.260068034945055,"SBPL","departure_delay",6.94313819577735,0.886653413764738
"SBPS",7,72362,7.93929134075896,38.4642725123362,0,1.54860943168077,0,0,1439,1439,21.2218977455399,692.324883594323,0.142988872619631,"SBPS","departure_delay",7.93929134075896,0.871341311738205
"SBPV",7,78395,18.5554180751323,103.662041328964,0,3.1101296299249,0,0,1440,1440,11.3542720037384,142.282913701391,0.370233382274534,"SBPV","departure_delay",18.5554180751323,0.815064736271446
"SBQV",2,16656,15.4675192122959,37.5524997682021,0,5.97711241182651,0,0,885,885,4.62189078842051,40.6242505720787,0.290973538856458,"SBQV","departure_delay",15.4675192122959,0.75516330451489
"SBRB",7,38632,14.8889003934562,65.9980030573728,0,3.19132207338381,0,0,1440,1440,10.9893290574384,150.326085298935,0.335781835532756,"SBRB","departure_delay",14.8889003934562,0.815852143300891
"SBRF",10,550884,8.44036857124187,32.943585057635,0,2.00548662606534,0,0,1440,1440,17.9105171478581,602.10441256394,0.0443854655769098,"SBRF","departure_delay",8.44036857124187,0.852304659420132
"SBRJ",7,816398,6.67364202264092,22.3863851849978,0,1.5201524987751,0,0,1440,1440,8.7814060574513,195.211015699971,0.0247761034666634,"SBRJ","departure_delay",6.67364202264092,0.869163079772366
"SBRP",5,106205,11.6864742714561,34.41987383443,0,2.8571647148826,0,0,710,710,4.97058370299085,35.7451107208097,0.105617721080524,"SBRP","departure_delay",11.6864742714561,0.823765359446354
"SBSG",8,56954,5.7805070758858,22.7069301341711,0,1.27730225616715,0,0,975,975,13.6413027223754,345.882123974629,0.0951472648250564,"SBSG","departure_delay",5.7805070758858,0.890473013308986
"SBSJ",7,9150,12.3313661202186,45.676845029114,0,2.09959016393443,0,0,773,773,9.3350128260141,129.488088474431,0.477513387425835,"SBSJ","departure_delay",12.3313661202186,0.838688524590164
"SBSL",7,127720,7.71017851550266,27.4532286896208,0,1.65158158471657,0,0,1427,1427,10.288053294889,221.020008384565,0.0768181728150107,"SBSL","departure_delay",7.71017851550266,0.857297212652678
"SBSM",3,5318,10.4749905979692,29.2231695422434,0,3.36842105263158,0,0,514,514,5.35760962318184,43.5406554478644,0.400731194727509,"SBSM","departure_delay",10.4749905979692,0.81271154569387
"SBSN",6,57844,9.78509439181246,34.6946665708626,0,2.33250497017893,0,0,1434,1434,10.7997557899784,222.32275023434,0.144255891613186,"SBSN","departure_delay",9.78509439181246,0.834503146393749
"SBSP",9,1509687,8.10170518789657,23.1673226491169,0,2.72966861546789,0,0,1438,1438,7.02349254662355,99.536267164413,0.0188552540972462,"SBSP","departure_delay",8.10170518789657,0.828571750303209
"SBSR",5,37670,5.45763206795859,23.0986110032405,0,0.523559861959119,0,0,1440,1440,13.1683343466941,468.982748793567,0.119011260493328,"SBSR","departure_delay",5.45763206795859,0.902628086010088
"SBSV",9,599638,9.45077530109834,35.8379477339606,0,2.57158670202122,0,0,1440,1440,17.7138875865797,566.560331726045,0.0462805549858461,"SBSV","departure_delay",9.45077530109834,0.830382664207405
"SBTE",6,89391,7.76751574543298,26.6134062460071,0,1.7585194300337,0,0,1440,1440,9.87036553901496,217.903229494162,0.089013026086207,"SBTE","departure_delay",7.76751574543298,0.849906590148896
"SBTF",3,7834,9.43796272657646,36.2539138875671,0,1.29802169751117,0,0,872,872,8.6710707699212,124.309778671684,0.409602987194432,"SBTF","departure_delay",9.43796272657646,0.860735256573909
"SBTT",2,8309,9.58442652545433,32.0918616041825,0,1.7255226349827,0,0,626,626,5.79711873274718,48.6055275305113,0.352063118189157,"SBTT","departure_delay",9.58442652545433,0.854976531471898
"SBTU",2,4017,12.3756534727409,37.5111342663962,0,3.09704510108865,0,0,808,808,6.17379544660589,70.4440160945816,0.591846768554787,"SBTU","departure_delay",12.3756534727409,0.816778690565098
"SBUG",3,1538,4.78218465539662,17.7399715887902,0,0.471590909090909,0,0,223,223,6.18724478629273,49.8413158920868,0.452350164123437,"SBUG","departure_delay",4.78218465539662,0.90962288686606
"SBUL",7,80029,8.38577265741169,28.9201289270871,0,1.45735259664194,0,0,1133,1133,7.10541627203691,97.4981626919149,0.102229568955186,"SBUL","departure_delay",8.38577265741169,0.863586949730723
"SBUR",3,15720,9.02843511450382,30.9766511454108,0,1.21700063613232,0,0,662,662,6.08168034639908,56.9949406025205,0.247063274979905,"SBUR","departure_delay",9.02843511450382,0.865076335877863
"SBUY",2,1108,46.3628158844765,70.629663498184,19,30.4527027027027,28.1694,0,434,434,2.61825829618987,8.12009309381908,2.12186259492005,"SBUY","departure_delay",46.3628158844765,0.465703971119134
"SBVH",3,4791,6.48925067835525,24.9976416274252,0,0.838768588572919,0,0,420,420,7.20335046677285,68.7097058063008,0.361148613749734,"SBVH","departure_delay",6.48925067835525,0.886662492172824
"SBVT",9,238481,6.68860412359894,24.6660944556901,0,1.32365227874309,0,0,1440,1440,15.9724608852171,677.25155097071,0.0505095498691807,"SBVT","departure_delay",6.68860412359894,0.872757158851229
