"arrival" ,"vars" ,"n"     ,"mean_delay"         ,"sd_delay"       ,"median_delay" ,"trimmed_mean_delay" ,"mad_delay" ,"min_delay" ,"max_delay" ,"range_delay" ,"skew_delay"     ,"kurtosis_delay" ,"se_delay"        ,"origin_icao" ,"variable"      ,"rate"               ,"punc"
"SBRB"    ,     7 ,  41199 ,   58.2851901183685  ,7913.29389895132 ,             0 ,    6.57606885935978 ,     0      ,          0 ,    1578360 ,      1578360 ,199.394844624803 ,39766.1292382471 ,38.986473966469   ,"SBRB"        ,"delay_arrival" ,   58.2851901183685  ,0.735869920333744
"SBRF"    ,    10 , 564835 ,   22.829639104581   ,9189.52556602573 ,             0 ,    2.66965171661044 ,     0      ,          0 ,    6838581 ,      6838581 ,743.510700273677 ,553284.10087901  ,12.2273484963625  ,"SBRF"        ,"delay_arrival" ,   22.829639104581   ,0.827295557544093
"SBRJ"    ,     6 , 830792 ,   11.1160400498216  ,2410.47476504889 ,             0 ,    2.0744268006845  ,     0      ,          0 ,    2103901 ,      2103901 ,833.58978157549  ,719176.731752301 ,2.64457833831767  ,"SBRJ"        ,"delay_arrival" ,   11.1160400498216  ,0.840564825433192
"SBRP"    ,     6 , 111070 ,   13.3044686464941  ,81.3659477002172 ,             0 ,    4.1948095995509  ,     0      ,          0 ,      14443 ,        14443 ,123.911058015246 ,20125.8617772026 ,0.244143013736863 ,"SBRP"        ,"delay_arrival" ,   13.3044686464941  ,0.78557794868916
"SBSG"    ,     9 ,  59632 ,    9.31392844007776 ,379.612301366883 ,             0 ,    2.23154046540137 ,     0      ,          0 ,      87836 ,        87836 ,218.923547302664 ,50249.9074734695 ,1.55453530459497  ,"SBSG"        ,"delay_arrival" ,    9.31392844007776 ,0.862694618119407
"SBSJ"    ,     7 ,   9981 ,   11.987795037321   ,34.6127858359725 ,             0 ,    3.65771558245083 ,     0      ,          0 ,       1540 ,         1540 ,11.5707252798391 ,396.143216433739 ,0.346457149138894 ,"SBSJ"        ,"delay_arrival" ,   11.987795037321   ,0.79574339318136
"SBSL"    ,     7 , 135541 ,   10.6973181229871  ,92.1890350380544 ,             0 ,    3.48962507289726 ,     0      ,          0 ,      14419 ,        14419 ,111.97811313313  ,15406.0881796441 ,0.250405536188002 ,"SBSL"        ,"delay_arrival" ,   10.6973181229871  ,0.802478704511934
"SBSM"    ,     3 ,   7526 ,   12.6990625861594  ,89.8741127126834 ,             0 ,    4.48483804272915 ,     0      ,          0 ,       7180 ,         7180 ,70.2462739969392 ,5574.9363559461  ,1.03598271357128  ,"SBSM"        ,"delay_arrival" ,   12.6990625861594  ,0.767576509511993
"SBSN"    ,     5 ,  57934 ,  198.613168433867   ,44185.6916985354 ,             0 ,    2.70252508545595 ,     0      ,          0 ,   10519252 ,     10519252 ,238.038806461323 ,56665.6026281976 ,183.575576392112  ,"SBSN"        ,"delay_arrival" ,  198.613168433867   ,0.821192286656904
"SBSP"    ,     9 ,1527176 ,   11.0716499516394  ,1356.33688857527 ,             0 ,    3.20950841748606 ,     0      ,          0 ,    1578303 ,      1578303 ,1083.89569035185 ,1231273.25839544 ,1.09754675061095  ,"SBSP"        ,"delay_arrival" ,   11.0716499516394  ,0.806265116828289
